N, beta, avg_energy, std_energy, avg_mag, std_mag, tot_time, num_threads
128, 0.500000, -1464.320000, 26.616650, 0.014679, 0.001206, 0.298314, 2
192, 0.500000, 329.312000, 32.637400, 0.005504, 0.000561, 0.520765, 2
256, 0.500000, -868.304000, 38.052748, 0.001110, 0.000391, 0.949788, 2
320, 0.500000, -244.616000, 41.025549, -0.000914, 0.000281, 1.462071, 2
128, 0.500000, -1394.048000, 37.690666, 0.006674, 0.001638, 0.167749, 4
192, 0.500000, -1426.392000, 50.784500, 0.006865, 0.000795, 0.346293, 4
256, 0.500000, -2549.456000, 50.607125, 0.005690, 0.000536, 0.628553, 4
320, 0.500000, -4140.192000, 54.600809, 0.001229, 0.000361, 0.808350, 4
128, 0.500000, -2347.464000, 54.840863, 0.004655, 0.002385, 0.098112, 8
192, 0.500000, -3200.800000, 58.252428, 0.007272, 0.001174, 0.194108, 8
256, 0.500000, -4632.944000, 76.715801, 0.001624, 0.000767, 0.328402, 8
320, 0.500000, -5000.208000, 84.572177, 0.001198, 0.000533, 0.501032, 8
128, 0.500000, -1464.320000, 26.616650, 0.014679, 0.001206, 0.196928, 2
192, 0.500000, 329.312000, 32.637400, 0.005504, 0.000561, 0.483257, 2
256, 0.500000, -868.304000, 38.052748, 0.001110, 0.000391, 0.799387, 2
320, 0.500000, -244.616000, 41.025549, -0.000914, 0.000281, 1.429230, 2
128, 0.500000, -1394.048000, 37.690666, 0.006674, 0.001638, 0.187108, 4
192, 0.500000, -1426.392000, 50.784500, 0.006865, 0.000795, 0.306600, 4
256, 0.500000, -2549.456000, 50.607125, 0.005690, 0.000536, 0.551727, 4
320, 0.500000, -4140.192000, 54.600809, 0.001229, 0.000361, 0.816768, 4
128, 0.500000, -2347.464000, 54.840863, 0.004655, 0.002385, 0.097781, 8
192, 0.500000, -3200.800000, 58.252428, 0.007272, 0.001174, 0.196443, 8
256, 0.500000, -4632.944000, 76.715801, 0.001624, 0.000767, 0.338801, 8
320, 0.500000, -5000.208000, 84.572177, 0.001198, 0.000533, 0.507458, 8
128, 0.500000, -1464.320000, 26.616650, 0.014679, 0.001206, 0.275325, 2
192, 0.500000, 329.312000, 32.637400, 0.005504, 0.000561, 0.599054, 2
256, 0.500000, -868.304000, 38.052748, 0.001110, 0.000391, 0.882305, 2
320, 0.500000, -244.616000, 41.025549, -0.000914, 0.000281, 1.369703, 2
128, 0.500000, -1394.048000, 37.690666, 0.006674, 0.001638, 0.155583, 4
192, 0.500000, -1426.392000, 50.784500, 0.006865, 0.000795, 0.306691, 4
256, 0.500000, -2549.456000, 50.607125, 0.005690, 0.000536, 0.565992, 4
320, 0.500000, -4140.192000, 54.600809, 0.001229, 0.000361, 0.854414, 4
128, 0.500000, -2347.464000, 54.840863, 0.004655, 0.002385, 0.222382, 8
192, 0.500000, -3200.800000, 58.252428, 0.007272, 0.001174, 0.205823, 8
256, 0.500000, -4632.944000, 76.715801, 0.001624, 0.000767, 0.343123, 8
320, 0.500000, -5000.208000, 84.572177, 0.001198, 0.000533, 0.515842, 8
128, 0.500000, -1464.320000, 26.616650, 0.014679, 0.001206, 0.247683, 2
192, 0.500000, 329.312000, 32.637400, 0.005504, 0.000561, 0.480148, 2
256, 0.500000, -868.304000, 38.052748, 0.001110, 0.000391, 0.864368, 2
128, 0.500000, -1394.048000, 37.690666, 0.006674, 0.001638, 0.160041, 4
192, 0.500000, -1426.392000, 50.784500, 0.006865, 0.000795, 0.316771, 4
256, 0.500000, -2549.456000, 50.607125, 0.005690, 0.000536, 0.575526, 4
