N, beta, avg_energy, std_energy, avg_mag, std_mag, tot_time, num_threads
128, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 1.350164, 1
192, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 3.140865, 1
256, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 5.591921, 1
320, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 8.596596, 1
128, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.811647, 2
192, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 1.918762, 2
256, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 3.179558, 2
320, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 5.126112, 2
128, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.547704, 4
192, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 1.190063, 4
256, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 2.101009, 4
320, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 3.351635, 4
128, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.431064, 8
192, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.835265, 8
256, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 1.480281, 8
320, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 2.523453, 8
